yyyymm,intermediary_capital_ratio,intermediary_capital_risk_factor,intermediary_value_weighted_investment_return,intermediary_leverage_ratio_squared
198101,0.034,-0.0411,-0.0265,862.8248
198102,0.0353,0.0254,0.0382,800.7625
198103,0.0352,-0.0148,0.0206,805.8998
198104,0.0357,0.0031,0.0197,782.5371
198105,0.0409,0.133,0.0755,597.6764
198106,0.0393,-0.0464,0.004,646.6597
198107,0.0388,-0.0212,-0.0427,663.0614
198108,0.0372,-0.0524,-0.042,724.4613
198109,0.0354,-0.0573,-0.0159,797.8891
198110,0.0377,0.054,0.0739,702.7311
198111,0.0389,0.0221,0.0331,659.9442
198112,0.0359,-0.0864,-0.0516,775.3599
198201,0.0356,-0.0207,-0.005,790.4363
198202,0.0352,-0.0229,-0.0115,808.9679
198203,0.0338,-0.0512,-0.0335,876.8739
198204,0.0348,0.017,0.0333,826.636
198205,0.0315,-0.1052,-0.097,1005.1544
198206,0.0301,-0.0618,-0.0278,1106.3726
198207,0.0291,-0.0486,-0.0289,1180.9064
198208,0.0327,0.1067,0.1332,934.1313
198209,0.0333,0.0043,0.067,901.0387
198210,0.0416,0.2364,0.2651,576.915
198211,0.0449,0.0702,0.0801,496.8488
198212,0.0406,-0.0997,-0.0683,605.3885
198301,0.042,0.0249,0.0393,567.5442
198302,0.0452,0.0694,0.0802,489.7659
198303,0.0494,0.0881,0.0873,409.6031
198304,0.0551,0.1125,0.1258,328.828
198305,0.0538,-0.0259,-0.0314,345.5346
198306,0.0539,-6e-4,0.0083,344.6621
198307,0.0498,-0.0778,-0.0786,403.652
198308,0.0494,-0.0115,-0.006,410.2902
198309,0.0466,-0.0605,-0.0536,461.3618
198310,0.043,-0.0809,-0.0761,540.5632
198311,0.0467,0.0797,0.0926,458.1133
198312,0.0453,-0.0351,-0.0071,487.3053
198401,0.0458,0.0046,0.0122,477.7099
198402,0.0433,-0.0595,-0.0594,534.2129
198403,0.0424,-0.0259,0.0104,555.7084
198404,0.0411,-0.0376,-0.0284,591.4542
198405,0.0361,-0.1297,-0.127,767.336
198406,0.0361,-0.0101,0.0523,765.9731
198407,0.0347,-0.0512,-0.0402,831.4985
198408,0.0404,0.1527,0.1744,612.8347
198409,0.0418,0.0262,0.0475,572.8842
198410,0.0419,-0.0032,0.0082,568.2536
198411,0.0412,-0.0251,-0.019,589.2602
198412,0.0435,0.0475,0.0683,529.3503
198501,0.0489,0.1192,0.1376,417.9065
198502,0.0486,-0.0096,-0.0047,422.8742
198503,0.0479,-0.0179,-0.0068,434.9743
198504,0.0491,0.02,0.0258,414.6909
198505,0.0521,0.0569,0.0644,368.6577
198506,0.0509,-0.0246,0.0272,385.5332
198507,0.0488,-0.0451,-0.0392,420.2072
198508,0.0468,-0.0442,-0.0411,456.3186
198509,0.0419,-0.1097,-0.0753,569.6769
198510,0.0463,0.098,0.1089,466.3908
198511,0.0497,0.0678,0.0745,405.2807
198512,0.0502,0.0066,0.0791,397.2365
198601,0.0514,0.0206,0.0322,378.9376
198602,0.0572,0.1103,0.1203,305.8404
198603,0.0612,0.0697,0.0855,266.8955
198604,0.0583,-0.0467,-0.0509,293.9121
198605,0.0604,0.0359,0.0372,273.6597
198606,0.0582,-0.0366,-0.0388,294.9045
198607,0.0539,-0.0741,-0.0785,343.6493
198608,0.0589,0.0904,0.0987,288.0739
198609,0.0504,-0.1447,-0.1205,393.5155
198610,0.0535,0.058,0.0713,349.4522
198611,0.0529,-0.0123,-0.0109,356.7448
198612,0.0503,-0.0515,-0.0235,394.6643
198701,0.055,0.0901,0.1149,330.195
198702,0.055,-0.0018,0.0022,330.4355
198703,0.053,-0.0382,-0.016,356.074
198704,0.0529,-0.0037,-0.0295,357.1851
198705,0.0528,-0.004,-0.0035,358.483
198706,0.0544,0.0281,0.0487,337.6768
198707,0.0554,0.0155,0.0228,326.38
198708,0.0567,0.0233,0.03,310.8489
198709,0.0554,-0.024,-0.0351,325.6977
198710,0.04,-0.2795,-0.2811,625.0567
198711,0.0359,-0.1107,-0.0991,775.8266
198712,0.0388,0.07,0.0386,663.6841
198801,0.042,0.0717,0.1021,568.2032
198802,0.043,0.0181,0.0286,540.5882
198803,0.0398,-0.0812,-0.0413,631.2809
198804,0.0408,0.0166,0.0035,600.8617
198805,0.0431,0.0489,0.0664,538.1016
198806,0.0463,0.0682,0.0817,465.8767
198807,0.0466,0.002,0.0102,459.5515
198808,0.0462,-0.0154,-0.0119,469.4861
198809,0.0471,0.0161,0.0436,450.2776
198810,0.0468,-0.0121,0.0017,457.1993
198811,0.0463,-0.0152,-0.0052,466.9383
198812,0.0454,-0.023,-0.0165,484.2536
198901,0.0494,0.0808,0.1111,410.519
198902,0.0479,-0.0326,-0.03,435.42
198903,0.0507,0.0541,0.0799,388.7629
198904,0.0512,0.0074,0.0154,380.8152
198905,0.0533,0.0374,0.0343,351.9159
198906,0.0508,-0.0484,-0.0013,386.9154
198907,0.0568,0.1142,0.1378,309.981
198908,0.0567,-0.002,-0.0047,310.6322
198909,0.0574,0.0112,0.0043,303.2216
198910,0.0534,-0.0712,-0.0832,350.9059
198911,0.0527,-0.0149,-0.0138,360.1252
198912,0.0526,-0.0035,-0.0075,361.0093
199001,0.047,-0.1097,-0.0974,453.057
199002,0.0484,0.0256,0.0337,426.931
199003,0.0469,-0.0349,-0.0418,454.5833
199004,0.0451,-0.0426,-0.0346,491.1869
199005,0.0498,0.0986,0.1139,402.9372
199006,0.0484,-0.0325,-0.0117,427.432
199007,0.0451,-0.0723,-0.0585,492.4183
199008,0.0403,-0.1113,-0.1021,615.8827
199009,0.035,-0.1389,-0.1384,815.1838
199010,0.0328,-0.0768,-0.0548,932.3367
199011,0.0371,0.1185,0.1379,727.1375
199012,0.0394,0.0515,0.0403,645.0307
199101,0.0417,0.0506,0.0732,574.8352
199102,0.0464,0.106,0.1154,463.7682
199103,0.0472,0.0109,0.0612,449.5197
199104,0.0483,0.0198,0.0286,428.4165
199105,0.0503,0.0379,0.043,394.6492
199106,0.0457,-0.0955,-0.0941,479.0571
199107,0.0495,0.0782,0.0964,408.148
199108,0.052,0.0464,0.0574,370.2521
199109,0.0509,-0.0225,0.0025,385.4507
199110,0.05,-0.0208,-0.0194,399.6016
199111,0.0451,-0.1008,-0.0994,490.5703
199112,0.0494,0.0895,0.1258,409.1582
199201,0.0508,0.0237,0.0259,387.7445
199202,0.0532,0.0442,0.0485,353.5732
199203,0.0564,0.0588,-0.0241,314.121
199204,0.0572,0.0133,0.0318,305.2952
199205,0.0584,0.0194,0.0275,293.3508
199206,0.0585,0.001,0.0117,292.5247
199207,0.0584,-0.0017,0.0029,293.2727
199208,0.0547,-0.0633,-0.0564,333.9249
199209,0.0551,0.005,0.0271,329.5886
199210,0.0563,0.0203,0.007,315.6702
199211,0.0608,0.0799,0.0851,270.1434
199212,0.0668,0.099,0.0405,223.7764
199301,0.0686,0.0286,0.0448,212.2276
199302,0.0705,0.0292,0.025,201.1924
199303,0.0703,-3e-4,0.0581,202.3029
199304,0.0672,-0.0415,-0.0369,221.3121
199305,0.0679,0.0114,0.0123,217.1061
199306,0.072,0.0635,0.0565,192.6416
199307,0.0736,0.025,0.0246,184.3702
199308,0.0764,0.0406,0.0439,171.2688
199309,0.0776,0.019,0.052,166.1187
199310,0.0728,-0.0575,-0.0618,188.5044
199311,0.0716,-0.0139,-0.016,195.0265
199312,0.0729,0.0211,0.0177,188.0467
199401,0.0781,0.0745,0.0583,163.769
199402,0.073,-0.0613,-0.0685,187.4145
199403,0.0645,-0.1147,-0.0556,240.728
199404,0.0662,0.0277,0.0349,228.4272
199405,0.0686,0.0376,0.0523,212.795
199406,0.0658,-0.0383,-0.0388,231.0952
199407,0.0678,0.0329,0.0329,217.2405
199408,0.0683,0.0079,0.056,214.6694
199409,0.0639,-0.0621,-0.0666,245.0811
199410,0.0653,0.0229,0.0449,234.7036
199411,0.0614,-0.0579,-0.0616,265.2132
199412,0.0608,-0.0088,-0.0091,270.1508
199501,0.0632,0.0388,0.0487,250.4551
199502,0.067,0.0619,0.0735,222.4796
199503,0.0637,-0.0487,-0.0046,246.7595
199504,0.0666,0.0476,0.0521,225.2476
199505,0.0713,0.0721,0.0835,196.601
199506,0.0699,-0.0167,0.0174,204.4391
199507,0.0739,0.0585,0.0633,183.2953
199508,0.0769,0.0441,0.0481,169.1491
199509,0.081,0.0574,0.07,152.3474
199510,0.0743,-0.0786,-0.042,181.1505
199511,0.0781,0.055,0.0642,163.756
199512,0.0764,-0.0188,-0.0136,171.436
199601,0.0811,0.0656,0.0708,151.9917
199602,0.0833,0.0313,0.0299,144.1188
199603,0.0836,0.0077,0.0333,143.2435
199604,0.0827,-0.0058,-0.0128,146.2974
199605,0.084,0.0203,0.0253,141.8021
199606,0.0813,-0.0272,0.0036,151.3293
199607,0.0813,0.0041,-0.0021,151.4089
199608,0.0836,0.0329,0.0354,143.1313
199609,0.087,0.0457,0.0664,132.0889
199610,0.0922,0.0646,0.0813,117.6941
199611,0.0982,0.0716,0.1048,103.6208
199612,0.0945,-0.0316,-0.0217,111.9967
199701,0.1027,0.0932,0.0921,94.7637
199702,0.1052,0.0306,0.0452,90.4309
199703,0.0938,-0.1006,-0.0776,113.5918
199704,0.0999,0.0705,0.0771,100.2448
199705,0.1004,0.0121,0.0368,99.1635
199706,0.1032,0.0343,0.0641,93.9116
199707,0.1164,0.1349,0.1296,73.8119
199708,0.1086,-0.0588,-0.0698,84.7696
199709,0.1153,0.0689,0.0934,75.2379
199710,0.112,-0.0204,-0.0268,79.6981
199711,0.1186,0.0663,0.0172,71.1206
199712,0.1176,1e-4,0.0477,72.2971
199801,0.1174,0.0065,-0.0313,72.5347
199802,0.1272,0.0918,0.1082,61.7634
199803,0.128,0.0149,0.0619,61.0175
199804,0.1292,0.0179,0.0352,59.9232
199805,0.1294,0.0109,-0.0162,59.6837
199806,0.1315,0.0249,0.0302,57.8209
199807,0.134,0.0278,0.0244,55.7145
199808,0.0997,-0.2467,-0.2806,100.6267
199809,0.0859,-0.1315,-0.1046,135.4547
199810,0.1196,0.3965,0.1521,69.9564
199811,0.118,-0.0048,0.1098,71.8283
199812,0.116,-0.0089,6e-4,74.3491
199901,0.1195,0.0388,0.0492,69.9833
199902,0.1219,0.0281,0.0272,67.2941
199903,0.1274,0.0535,0.0651,61.6188
199904,0.1322,0.0466,0.0456,57.2166
199905,0.1241,-0.0524,-0.0638,64.9599
199906,0.1297,0.0541,0.0538,59.4353
199907,0.1256,-0.023,-0.0678,63.4216
199908,0.1182,-0.0504,-0.0207,71.6358
199909,0.1115,-0.0479,-0.0524,80.3993
199910,0.1222,0.1038,0.1116,66.9172
199911,0.1205,-0.0055,-0.0154,68.8346
199912,0.1183,-0.0101,0.0048,71.4534
200001,0.1078,-0.0809,-0.0574,86.1274
200002,0.1024,-0.0421,-0.0433,95.3388
200003,0.1107,0.0882,0.1179,81.5462
200004,0.1052,-0.0426,-0.0566,90.4045
200005,0.1086,0.0401,0.0403,84.7372
200006,0.1059,-0.018,-0.0222,89.2214
200007,0.1162,0.105,0.0927,74.0341
200008,0.1294,0.1216,0.1214,59.703
200009,0.1206,-0.0596,-0.0177,68.807
200010,0.1204,0.0075,-0.0142,68.9326
200011,0.1091,-0.086,-0.0922,84.0432
200012,0.114,0.0528,0.1185,76.9123
200101,0.1164,0.029,0.0564,73.7655
200102,0.1089,-0.0567,-0.1093,84.3417
200103,0.1067,-0.0122,-0.039,87.7712
200104,0.1109,0.0459,0.0492,81.3728
200105,0.114,0.0361,0.0241,76.9326
200106,0.11,-0.0271,-0.0406,82.6215
200107,0.1085,-0.0065,-0.0042,85.0066
200108,0.1041,-0.0327,-0.0335,92.265
200109,0.0898,-0.1302,-0.1053,123.9622
200110,0.0865,-0.0313,0.0253,133.6225
200111,0.0929,0.079,0.0871,115.8738
200112,0.0901,-0.0239,0.031,123.0958
200201,0.0899,0.0029,-0.0343,123.7577
200202,0.0869,-0.0276,-0.0307,132.3758
200203,0.0939,0.0851,0.0974,113.5129
200204,0.0922,-0.0114,-0.0023,117.5619
200205,0.0977,0.065,0.0313,104.7842
200206,0.0894,-0.0788,-0.0593,125.2185
200207,0.0816,-0.0809,-0.0905,150.0237
200208,0.0837,0.0301,0.0367,142.5957
200209,0.0723,-0.1323,-0.1447,191.4924
200210,0.076,0.0548,0.073,173.0516
200211,0.0819,0.0809,0.0849,149.0821
200212,0.0757,-0.0717,-0.0609,174.6694
200301,0.0711,-0.0575,-0.0139,198.0635
200302,0.0705,-0.0046,-0.0012,200.9588
200303,0.0685,-0.0271,-0.0172,213.4175
200304,0.0766,0.1216,0.132,170.2742
200305,0.0798,0.045,0.0756,157.0143
200306,0.0802,0.0095,0.0384,155.3576
200307,0.0837,0.0476,0.0393,142.708
200308,0.0838,0.0061,-0.0043,142.3152
200309,0.0835,9e-4,0.0197,143.4128
200310,0.0893,0.0743,0.0797,125.3574
200311,0.0888,2e-4,0.0088,126.6926
200312,0.0915,0.0354,0.0571,119.4128
200401,0.0878,-0.0344,0.015,129.6048
200402,0.0899,0.0284,0.0309,123.8278
200403,0.0872,-0.0241,-0.016,131.5198
200404,0.0871,0.0037,-0.0461,131.9295
200405,0.0863,-0.0031,0.0067,134.1576
200406,0.086,0.0017,0.0179,135.0635
200407,0.0857,9e-4,-0.0266,136.1904
200408,0.0876,0.0274,0.0331,130.2841
200409,0.0861,-0.0116,0.0228,134.7965
200410,0.088,0.0262,0.0373,129.2672
200411,0.0883,0.0096,0.0385,128.1735
200412,0.0895,0.0192,0.0375,124.7077
200501,0.0768,-0.1367,-0.0287,169.4744
200502,0.0772,0.0087,0.0211,167.7927
200503,0.0748,-0.027,-0.0311,178.6069
200504,0.0743,-0.0039,-0.0071,181.2229
200505,0.0749,0.0112,6e-4,178.3744
200506,0.0761,0.0193,0.0144,172.8033
200507,0.0775,0.0221,0.0228,166.5701
200508,0.0765,-0.0094,0.003,171.0542
200509,0.0793,0.0407,0.0357,159.0216
200510,0.0792,0.0027,0.0063,159.4729
200511,0.0823,0.0428,0.0509,147.8071
200512,0.0833,0.017,0.019,144.185
200601,0.0809,-0.0244,0.0419,152.9592
200602,0.0849,0.0538,0.0348,138.867
200603,0.0846,0.0013,0.0107,139.8673
200604,0.0861,0.0233,0.0477,134.8395
200605,0.0817,-0.0467,-0.0346,149.9549
200606,0.0797,-0.0194,-0.0092,157.3678
200607,0.0777,-0.0209,0.0319,165.5438
200608,0.079,0.0204,0.0265,160.1966
200609,0.0814,0.0346,0.0355,150.8428
200610,0.0829,0.0224,0.0305,145.5485
200611,0.0807,-0.022,0.0087,153.627
200612,0.0818,0.0182,0.0223,149.4307
200701,0.076,-0.0671,0.0148,173.336
200702,0.0728,-0.0383,-0.0296,188.7908
200703,0.0703,-0.031,0.0105,202.2787
200704,0.0734,0.0463,0.069,185.6453
200705,0.0746,0.0196,0.0239,179.6493
200706,0.0704,-0.0535,-0.0433,201.9464
200707,0.0673,-0.0412,-0.0428,220.8107
200708,0.0641,-0.0454,-0.0268,243.2232
200709,0.0644,0.0057,0.037,240.9789
200710,0.0653,0.0146,0.0292,234.6269
200711,0.0605,-0.0712,-0.0615,272.7561
200712,0.0568,-0.0617,-0.0563,309.9218
200801,0.0516,-0.0931,-0.0386,376.0284
200802,0.0477,-0.0787,-0.0676,440.3996
200803,0.0446,-0.069,-0.0239,503.4633
200804,0.047,0.0488,0.0854,452.7729
200805,0.0447,-0.0538,-0.0579,500.8182
200806,0.0397,-0.117,-0.1524,634.0744
200807,0.0435,0.0868,0.0857,528.5845
200808,0.0438,0.001,-0.0333,520.9536
200809,0.0447,0.013,-0.0253,501.5538
200810,0.0357,-0.2066,-0.2343,785.4799
200811,0.0277,-0.2342,-0.1799,1300.6904
200812,0.026,-0.0829,-0.0543,1483.2013
200901,0.0249,-0.0627,-0.184,1612.4413
200902,0.0223,-0.1284,-0.1144,2012.9658
200903,0.0265,0.1607,0.1457,1424.1933
200904,0.034,0.2632,0.3055,863.6089
200905,0.0385,0.1178,0.1684,675.7354
200906,0.0401,0.0342,-0.0171,620.5691
200907,0.046,0.1377,0.1352,472.5785
200908,0.0504,0.0911,0.1013,393.3297
200909,0.052,0.028,0.025,369.8997
200910,0.0488,-0.0638,-0.0633,419.7777
200911,0.0495,0.0101,0.0278,408.3581
200912,0.0505,0.0165,-0.0175,392.4792
201001,0.0467,-0.0789,-0.0699,459.4708
201002,0.0507,0.0817,0.0586,389.2605
201003,0.0544,0.0696,0.0809,338.3008
201004,0.0535,-0.0171,-0.0145,348.9782
201005,0.049,-0.0868,-0.1097,416.6298
201006,0.046,-0.0649,-0.0519,472.6668
201007,0.0508,0.0986,0.1305,388.0431
201008,0.0475,-0.0679,-0.0719,443.7669
201009,0.048,0.0075,0.0484,433.4138
201010,0.0482,-0.0014,0.0022,431.0283
201011,0.0466,-0.0367,-0.0491,460.646
201012,0.0495,0.058,0.0724,407.8335
201101,0.0504,0.0142,0.0512,393.7598
201102,0.0534,0.0572,0.0658,350.2038
201103,0.0507,-0.0538,-0.0447,389.4913
201104,0.0506,-0.0053,0.0256,391.2422
201105,0.0499,-0.0151,-0.0316,400.827
201106,0.048,-0.0432,-0.036,434.7743
201107,0.0451,-0.0642,-0.0525,492.0906
201108,0.0402,-0.1143,-0.1168,619.6157
201109,0.0354,-0.1274,-0.138,798.6187
201110,0.0387,0.0829,0.1214,666.7383
201111,0.0352,-0.1006,-0.0977,807.8346
201112,0.0363,0.0202,0.0086,758.6883
201201,0.0408,0.1127,0.1149,601.0285
201202,0.0436,0.0614,0.0722,525.7329
201203,0.0456,0.0392,0.0502,481.061
201204,0.043,-0.0631,-0.051,541.9344
201205,0.0379,-0.1241,-0.1401,695.8674
201206,0.0398,0.0399,0.0586,631.7171
201207,0.039,-0.0289,-0.0205,658.415
201208,0.0408,0.0384,0.0591,600.2032
201209,0.0433,0.0521,0.0686,534.2535
201210,0.0455,0.0454,0.054,482.9266
201211,0.0463,0.0113,0.0207,467.2598
201212,0.049,0.0533,0.0565,417.2462
201301,0.049266641711801826,0.06842379148437426,0.08539547258585412,411.99702618472946
201302,0.04845070800832116,-0.020166718873241396,0.003333642727370245,425.99033369476916
201303,0.047232556885232674,-0.02489308966036046,-0.01642260082228597,448.2466860180383
201304,0.05038167505466283,0.0621951261126964,0.044018306139626207,393.9624185706183
201305,0.05284577700049251,0.0457518748950219,0.07537549250991371,358.0794719613103
201306,0.049717547164912494,-0.06142864996060812,-0.061057948763887704,404.5578300568576
201307,0.05547913470799864,0.11246498060294681,0.06948495936702703,324.8932153705188
201308,0.05318719862586631,-0.04264849635616097,-0.04029179071707467,353.49702796475503
201309,0.0552094260389565,0.035908973153718854,0.016543467664363654,328.07530072071125
201310,0.056228708285592115,0.01703740959969962,0.025980322771523845,316.28878025711305
201311,0.058385265655691417,0.03725629403307891,0.040633144030866264,293.3549891698862
201312,0.06024639574854498,0.03143525799026644,0.0035853962348055823,275.51031254656215
201401,0.058194959430080316,-0.03396418860073718,-0.01967045729762129,295.2767556968072
201402,0.06065441178869653,0.021881886114885455,0.012461101115523565,271.81612017682784
201403,0.05963504365602423,-0.0166081519930674,-0.0007089895927017142,281.18808689367023
201404,0.05841330143980678,-0.020570216584763844,-0.022495129739414588,293.07346207722
201405,0.058658889904406056,0.003771077689451261,0.009591984663947173,290.62456503674247
201406,0.058450779867276134,-0.003909518101921838,-0.009892084835403936,292.69774729333506
201407,0.058847863414344455,0.006371176783523322,0.02668437268228363,288.76104237815485
201408,0.05996789463525963,0.018725572879864427,0.02903748659021943,278.07528844443203
201409,0.06047819371009969,0.008519191682863221,0.008758316861669169,273.4024339906235
201410,0.06058291633943742,0.0018816497776721957,0.011723952791521386,272.4580530468935
201411,0.06067605517729061,0.001715975089333136,0.01135951265291002,271.622238994231
201412,0.061559678125857206,0.01476684308311019,-0.0030062927687959373,263.8805127048746
201501,0.05479691725901505,-0.10941701780839161,-0.09596068065867658,333.033365619324
201502,0.05916516079299216,0.07815618513029651,0.07773264013390846,285.672148936777
201503,0.0581198133435903,-0.017884431128835105,0.001722379698663623,296.04080623046167
201504,0.06151967718758627,0.0579779815439224,0.04306832924150128,264.22378172829656
201505,0.061815785436583066,0.0052426582500151725,0.022211944134569617,261.69848978083553
201506,0.06438696556617181,0.04210136855234283,-0.004933460261864142,241.21487380157376
201507,0.06596049272314522,0.025590430274949998,0.04090484066568978,229.84349541198418
201508,0.06102620072876527,-0.07328519298714331,-0.07425248234030046,268.51424693858667
201509,0.05801237688689195,-0.049087482531976104,-0.054099934320986254,297.13833156056415
201510,0.060960428977386495,0.05026632060418865,0.05618567466694824,269.09397315936087
201511,0.061190674342071816,0.004057573925986905,0.011574167036527472,267.072715017779
201512,0.06241955080784054,0.020424950178802137,-0.02623764027137976,256.66031443078424
201601,0.05480135022528882,-0.12138501255844575,-0.11011785618192049,332.97948862685496
201602,0.050990541777587724,-0.07109788609835117,-0.08409906865222772,384.61015528235504
201603,0.05101086837874426,-0.002521658186024218,0.04203659304580776,384.30370060437116
201604,0.059624935231748485,0.06158315177172459,0.06395249501995548,281.2834365795325
201605,0.05911311555658323,-0.008670056264768529,0.018777197132690215,286.1754017084475
201606,0.0532210515946517,-0.0999053819222341,-0.08057795334260953,353.0474645863263
201607,0.05595025177685721,0.049180429179421836,0.06134927344094465,319.4448637178007
201608,0.05937766074576489,0.060072798019968746,0.07711222232928994,283.63108865521394
