st,stateabbrv,statename,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
24,MD,Maryland,81.124992,81.922966,83.524582,84.001785,85.276665,85.602531,87.676521,87.762115,75.621597,76.573456,79.23378,79.836319,81.811943,82.252235,85.112732,85.336479,.10895644,.14244068,.10625017,.11716878,.10257451,.11214597,.09578675,.10759639,.087598868,.11469188,.094674535,.10821425,.099871688,.10796295,.090358146,.095739685,2607733,3293785,3729137,5136334,2395549,2816042,3307760,4890829
25,MA,Massachusetts,83.20533,83.067032,84.446915,84.634674,86.107117,86.29142,87.89267,88.034286,77.983276,77.940643,80.499977,80.763428,82.965218,83.240059,85.652359,85.883278,.10498339,.10449956,.10328969,.1109644,.095871136,.10362643,.095834978,.10377906,.087774314,.089044884,.093180835,.10327629,.096056715,.10775936,.088887356,.09756323,2837249,3604240,4314331,5766711,2699548,3352023,4046247,5540157
26,MI,Michigan,80.349396,81.038773,83.832329,84.271576,85.827606,86.200989,87.297737,87.531517,74.805573,75.540764,79.851822,80.326912,82.41935,82.845474,84.642471,84.952301,.071039438,.085421294,.076117031,.087416932,.080438562,.088550977,.08691217,.091163501,.053448427,.079530321,.06448485,.08488699,.071201138,.086567491,.081068471,.087261647,5610699,6192671,6789899,6274765,4906198,5826905,6698201,6125988
27,MN,Minnesota,82.382988,82.600975,84.942848,85.240112,86.802528,87.063698,88.191505,88.38105,77.272331,77.609596,81.426285,81.779076,84.087807,84.412361,86.049088,86.303635,.11282083,.12270034,.10679726,.12111217,.10634842,.11449069,.11852007,.12263185,.095508352,.11029834,.10167686,.11743537,.098767638,.10987924,.10876378,.11617608,2116131,3093751,3887814,3790139,2158814,3093717,3825397,3626220
28,MS,Mississippi,81.215591,82.392303,83.611763,84.316147,85.107986,85.634109,86.793633,87.139206,74.724602,76.104668,78.980667,79.76059,81.46183,82.043663,83.81459,84.229057,.10988712,.14437382,.14182264,.14971375,.1655093,.1648038,.20719358,.20516241,.093280904,.13753283,.12080803,.13813321,.14778325,.15439847,.19161166,.19276285,2322871,1670721,1376574,979642,1948927,1671502,1347486,915049
29,MO,Missouri,80.796074,81.419334,83.890884,84.327126,85.70919,86.077103,87.449455,87.700371,75.178047,75.851677,79.698349,80.186684,82.347496,82.762016,84.609077,84.933807,.085927077,.098898225,.093680806,.10650127,.1034928,.11088314,.11974865,.12345774,.065644011,.090388127,.081422701,.1005416,.098583393,.11354501,.11227594,.12057668,3554005,3857317,3761858,3034516,3271700,3611200,3604798,2853355
30,MT,Montana,82.418388,82.752808,85.159821,85.482399,86.789734,87.071159,88.129517,88.357407,78.069,78.444435,82.236252,82.594788,84.698883,85.000999,85.999603,86.279648,.20346461,.20590679,.21924929,.21706852,.2622323,.25645697,.31067264,.30094156,.1689107,.18041673,.19838719,.2042215,.23555338,.23318423,.29698926,.28899133,676666,671015,640935,410824,652990,695820,628442,378566
31,NE,Nebraska,81.948952,82.307762,84.809319,85.08136,86.618729,86.87606,87.864365,88.083191,76.585991,76.960052,80.856606,81.171562,83.283669,83.605186,85.163528,85.444427,.18087856,.18211474,.17804462,.18046147,.18473279,.18025126,.22424346,.21923567,.13948585,.14871167,.15665457,.16438228,.18554071,.18890506,.22118475,.22075753,859630,1136947,1259440,946375,862391,1170147,1225673,880201
32,NV,Nevada,80.663567,80.163551,82.570572,82.023972,84.063667,83.674759,86.0905,85.80407,75.603416,75.365318,78.822083,78.58316,81.237885,81.167137,83.460526,83.464432,.14750776,.15613939,.15102355,.17635171,.16465583,.18207887,.17266767,.18768223,.10193071,.10260597,.12153298,.12224662,.13994861,.14029479,.1651867,.16696526,1396072,1582808,1444143,1294757,1557991,1585093,1459025,1264011
33,NH,New Hampshire,82.012535,82.376953,84.534073,84.854683,86.404091,86.67926,87.639038,87.883057,76.563278,76.963242,80.808517,81.173515,82.934464,83.2845,85.706161,85.99926,.2211498,.22329935,.2232684,.22628213,.20837627,.20803249,.21728945,.21626724,.17195046,.1826154,.18069957,.18635201,.19144607,.19825308,.21360706,.21116793,624192,879989,1048770,1090413,599989,867912,1042384,1069700
34,NJ,New Jersey,82.863136,82.627937,83.995514,83.898697,85.253098,85.176941,87.477455,87.299355,77.617958,77.397324,80.008324,79.965576,82.079849,82.101006,84.918762,84.902931,.084466517,.10678806,.091478854,.096044756,.087439187,.093811259,.079416037,.10652453,.073974103,.085340932,.075618923,.074690655,.078409173,.079154007,.074150339,.095424861,4096902,4680733,5409202,8207123,3849772,4243716,5039654,8029962
35,NM,New Mexico,83.100464,81.373055,85.042717,83.916985,86.212418,85.473625,87.809677,87.49585,77.912605,76.079544,81.336342,80.166969,83.72644,83.001411,85.688271,85.420036,.14488547,.26953071,.17625923,.25544202,.19371548,.239428,.20558293,.21819845,.11805789,.19814152,.15909234,.21475832,.18286635,.2054071,.19324107,.20240089,1424728,1221518,1028852,873048,1315534,1112327,979814,810131
36,NY,New York,83.641876,83.1782,84.591133,84.407036,85.934143,85.823395,87.822319,87.716705,78.778687,78.450394,80.758545,80.693245,82.919167,82.929352,85.575317,85.595276,.055176057,.098917387,.059123605,.071528599,.060932778,.071079068,.061235048,.081150942,.047231607,.066222548,.050972775,.053106688,.055638872,.059838444,.058255758,.072092809,11425079,11154236,10691480,12046317,10869961,10073625,9993580,11526314
37,NC,North Carolina,81.599236,82.456657,84.173653,84.694748,85.777519,86.183624,87.640816,87.911659,75.311707,76.263687,79.589905,80.183434,82.373337,82.839821,85.053413,85.387932,.0728743,.097632103,.077905528,.086421803,.086775862,.091684259,.10073102,.10489856,.055446036,.091549061,.06771747,.084271982,.08264,.096140355,.095526099,.1021039,5909312,5702684,5279217,4614819,5179780,5300733,4967048,4363677
38,ND,North Dakota,82.671417,83.019547,85.207314,85.54937,86.608307,86.928543,88.573418,88.807518,76.809647,77.213173,81.742264,82.125839,84.096176,84.447289,86.064575,86.369942,.27474242,.27257749,.28679755,.28067777,.33331418,.32100686,.38334578,.3642025,.21677172,.22090699,.24381948,.24540092,.2931385,.28732884,.36971965,.35658216,324122,408611,483401,327373,322187,446868,492459,309318
39,OH,Ohio,80.750038,81.408623,83.793495,84.260963,85.443413,85.847382,87.36544,87.629326,74.848915,75.575737,79.774391,80.283234,82.480774,82.919106,84.846024,85.175949,.062344857,.082322948,.062640689,.079213038,.075189404,.090413265,.090959504,.098198518,.050474476,.081345476,.056694563,.083100453,.068320736,.088997252,.087091409,.095278002,6747499,8345333,7878183,5826033,6093828,8017818,7630253,5517912
40,OK,Oklahoma,80.011993,80.449402,82.774643,83.122971,85.03598,85.340958,86.535889,86.799461,74.818871,75.287354,79.155243,79.529846,81.739021,82.092224,84.143143,84.460579,.10448153,.11366682,.12015351,.12846188,.1405614,.14495395,.17015955,.17098412,.082035072,.10256696,.10324517,.11658643,.12911575,.13746193,.157352,.16054344,2395377,2270394,2045210,1536353,2159008,2178778,1988675,1433254
41,OR,Oregon,82.453812,82.582405,84.425018,84.572327,86.280594,86.429436,87.712074,87.840919,77.685318,77.875587,81.389954,81.607162,83.771553,84.004639,85.764198,85.991562,.1097839,.11792728,.13091445,.13667844,.13475476,.1407768,.14941438,.15579462,.088698089,.10296143,.11499175,.12667172,.1226235,.12893648,.14226155,.1423831,2182447,2362876,2449767,2057054,2129320,2340035,2327137,1927964
42,PA,Pennsylvania,81.616524,82.047722,84.37278,84.763115,85.904015,86.241364,87.688408,87.887054,75.577011,76.066803,80.030136,80.474983,82.747993,83.130096,85.184067,85.451378,.062478404,.069449767,.062108405,.077501237,.067196615,.081331655,.076896667,.085508265,.049944203,.070929594,.056946602,.078701355,.062374163,.082410507,.076032765,.087548569,6786670,8259170,8934549,7841779,6288464,8152420,8568669,7398819
44,RI,Rhode Island,82.981468,82.91954,84.793884,84.997963,86.61451,86.856972,88.180779,88.341507,77.069717,77.07402,80.560303,80.818634,83.085945,83.401062,85.424576,85.663979,.24225324,.2375256,.25734073,.24910159,.23491368,.22674927,.2418972,.23919278,.19276391,.18950519,.21753182,.22148594,.23296164,.22601832,.24907181,.24436907,561775,644020,723067,726559,513240,616762,685153,692061
45,SC,South Carolina,81.466118,82.539963,84.265968,84.895332,85.658638,86.112099,87.56163,87.849625,74.608185,75.844643,79.430901,80.143593,82.417824,82.92289,84.787682,85.141319,.090465367,.12442554,.11411039,.1188573,.12741344,.12832731,.13771045,.13656248,.074169092,.11340216,.10003726,.11293972,.11279903,.11900935,.14318165,.14530127,3312897,2759770,2450983,2020955,2768800,2611654,2349482,1880547
46,SD,South Dakota,81.961655,82.288528,85.241409,85.585861,86.788353,87.123192,87.963348,88.228722,77.248253,77.62394,82.154106,82.52356,83.734406,84.104645,85.92424,86.217194,.25981212,.26097655,.268953,.26041913,.29105157,.28206497,.3691296,.35729352,.19730447,.20437655,.22498661,.2264774,.26928243,.2698684,.33675784,.32962504,427547,532036,563394,347705,435108,563753,539197,319736
47,TN,Tennessee,81.012711,81.743553,83.718407,84.202835,85.482437,85.898911,87.41526,87.6856,74.630486,75.437653,79.36245,79.905357,82.217934,82.67984,84.570892,84.902847,.0772264,.09344542,.089762434,.10102484,.11199596,.11769843,.12644921,.12767445,.061400518,.092244156,.073901102,.093553342,.09486676,.10817323,.11736987,.12488846,4234824,4131402,3591447,2803003,3902261,3898583,3423900,2659138
48,TX,Texas,82.311195,81.293304,83.942726,83.278015,85.443352,85.017464,87.471352,87.278793,77.157631,76.184792,79.797508,79.193954,82.078392,81.734268,84.889236,84.794899,.049040012,.17020497,.060597423,.12852934,.062680177,.092688709,.062652811,.073074393,.038005907,.11541936,.050312411,.088193044,.058000211,.074698105,.057942074,.063148983,14634030,12717054,11451458,12471034,13428559,12224750,11300635,12383342
49,UT,Utah,82.813637,82.772774,85.091492,85.110184,86.586617,86.664665,88.890701,88.992882,77.527283,77.51487,81.532112,81.612968,84.322426,84.454727,86.733658,86.912048,.17260417,.17370744,.17742902,.17606613,.1768496,.17647851,.17094375,.1683059,.14731139,.14927922,.16125001,.16344254,.16353931,.16283348,.1786558,.17718622,931321,1161203,1455003,1237993,900184,1184527,1477941,1189089
50,VT,Vermont,82.751511,83.153343,85.413315,85.71096,86.560814,86.88311,88.774071,88.990135,77.743858,78.202713,81.411209,81.787857,84.274132,84.61132,85.921982,86.221611,.27394471,.27164647,.28695935,.28036129,.33419088,.32683152,.33094358,.31694356,.22442947,.23594463,.26833305,.27159399,.28934327,.28364366,.35122573,.34324026,374157,466976,496133,376867,375258,468972,473039,347863
51,VA,Virginia,81.626114,82.352463,84.119095,84.489105,85.625687,85.82338,87.700638,87.720718,75.625244,76.491219,79.626244,80.138771,82.436348,82.779305,85.686279,85.861748,.085906453,.10188939,.092257261,.098456599,.093740053,.10107094,.087925494,.10013344,.065722927,.09231139,.081780367,.092205472,.08851067,.095640808,.082591549,.087461255,4054578,4429387,4843328,6178695,3595838,4175309,4613085,5993623
53,WA,Washington,82.615562,82.354942,84.687553,84.619667,86.030258,85.999428,87.997154,87.912392,77.71521,77.708878,81.038109,81.176811,83.510262,83.674728,85.787224,85.910408,.095732026,.12367941,.10312338,.11953419,.10290555,.12172647,.10268331,.12291815,.082020283,.096788391,.087399624,.098275535,.092728555,.10248494,.10034823,.11103614,3064660,3789678,4433250,4559729,2970922,3746581,4442440,4429941
54,WV,West Virginia,81.151352,81.633781,83.939766,84.354355,85.431007,85.820976,86.72216,86.949127,75.47644,76.000977,80.183342,80.62529,82.56488,82.978424,84.323471,84.611465,.13431582,.14667255,.1637672,.17253242,.1975884,.19825545,.27099565,.26574388,.10716395,.13091053,.1376815,.15168314,.16961527,.17614417,.2492449,.24503374,1315018,1235360,1129655,665782,1242694,1268781,1120440,621209
55,WI,Wisconsin,81.417969,81.837036,84.71022,85.037666,86.195374,86.511253,87.748291,87.98143,76.050522,76.523918,80.668755,81.047096,83.289993,83.650208,85.257088,85.548561,.10205914,.11056562,.10288245,.11435838,.10448825,.11355442,.12501547,.12967637,.083579339,.1024566,.090633951,.10899674,.093017466,.11010155,.1153184,.12244947,2603662,3526417,4476729,3448066,2528110,3642403,4440841,3246168
56,WY,Wyoming,81.071793,81.173805,84.390015,84.603882,85.859016,86.042519,87.216949,87.39061,75.876625,76.028282,80.95929,81.194771,83.010544,83.23201,85.819305,85.99736,.28022999,.27525285,.3337124,.32522693,.3305876,.31967062,.3719562,.35876191,.23207767,.23231228,.26675516,.26627749,.27909249,.27787682,.31910235,.31349465,291527,320073,397598,322003,281090,354451,433245,307330
