gnd,pctile,count,hh_inc,hh_inc_age40,le_agg,le_raceadj,sd_le_agg,sd_le_raceadj
F,1,7098335,432.78204,383.32544,78.526276,78.783836,.052537858,.062369585
F,2,7120033,1919.1157,1681.7804,80.291382,80.46241,.056186546,.064146481
F,3,7131115,3718.2156,3344.0874,81.043648,81.168098,.056927446,.065437168
F,4,7135812,5466.6387,5051.8345,81.434181,81.530678,.058088601,.065256
F,5,7140055,7089.4287,6671.7788,81.548515,81.628853,.058224965,.06485448
F,6,7141666,8570.2676,8166.4253,81.604004,81.673355,.062758289,.068603188
F,7,7144768,9890.6504,9424.541,81.642609,81.703041,.062607594,.065750666
F,8,7146577,11141.579,10572.96,81.739784,81.789368,.062888473,.066356823
F,9,7146867,12367.86,11746.701,81.706177,81.748344,.065673351,.067713179
F,10,7149543,13525.564,12807.215,81.715576,81.754166,.065104105,.066931881
F,11,7152938,14617.204,13744.705,81.985367,82.014641,.065148622,.065489903
F,12,7154548,15691.668,14713.062,82.130821,82.156662,.066605479,.067595489
F,13,7157847,16747.199,15697.612,82.326492,82.351776,.06498453,.065540999
F,14,7156139,17777.514,16666.307,82.304054,82.33271,.068551518,.068234429
F,15,7158253,18788.195,17619.527,82.437515,82.464401,.06835486,.068344899
F,16,7161532,19787.162,18571.473,82.659279,82.685997,.068762943,.06854102
F,17,7161166,20778.541,19529.727,82.587585,82.620689,.066445515,.065953314
F,18,7162264,21764.938,20496.85,82.661598,82.696388,.067712963,.067553222
F,19,7163496,22747.816,21463.76,82.908821,82.94355,.072300218,.072543971
F,20,7164020,23728.01,22430.047,82.890808,82.930573,.071053959,.071046166
F,21,7166206,24707.008,23392.875,82.955109,83.000237,.0682007,.067663737
F,22,7165714,25686.211,24357.771,83.006218,83.058914,.070845023,.070048429
F,23,7168507,26667.346,25329.4,83.064056,83.118538,.071385451,.07162001
F,24,7169326,27651.844,26304.367,83.217201,83.268585,.071674615,.071245715
F,25,7170463,28641.076,27287.229,83.29673,83.345512,.070278287,.070267126
F,26,7170053,29635.301,28277.512,83.328285,83.374672,.070094287,.070402756
F,27,7171977,30634.684,29273.383,83.388618,83.433304,.069610551,.069762997
F,28,7171183,31640.113,30278.654,83.498146,83.543816,.067685038,.067632481
F,29,7173317,32651.039,31297.256,83.674408,83.718033,.070790917,.071269192
F,30,7173991,33670.215,32330.42,83.788948,83.834122,.072497897,.072306469
F,31,7174613,34699.07,33373.582,83.730637,83.781654,.073017932,.073736459
F,32,7174328,35739.371,34428.75,83.775978,83.831879,.071797162,.072117828
F,33,7175648,36792.668,35503.703,83.945457,84.000481,.071803391,.070634834
F,34,7176418,37859.223,36596.887,84.017365,84.073212,.073114358,.072457269
F,35,7175978,38941.527,37713.238,84.047462,84.103325,.06894087,.069832109
F,36,7176800,40036.59,38847.094,84.089401,84.147591,.073011801,.072950788
F,37,7179075,41145.957,39999.723,84.224236,84.281258,.072912887,.072126649
F,38,7178083,42272.977,41173.941,84.23233,84.291191,.071608916,.071283251
F,39,7179058,43414.043,42373.551,84.222359,84.28257,.073542193,.074258395
F,40,7180337,44570.664,43592.008,84.393791,84.447998,.07316716,.073399216
F,41,7180754,45744.07,44826.73,84.464035,84.51651,.073402829,.074280933
F,42,7179590,46933.258,46079.508,84.411079,84.463608,.071482964,.072968096
F,43,7181920,48134.508,47346.082,84.572311,84.621666,.073613629,.074063055
F,44,7183456,49352.219,48635.922,84.767899,84.813545,.077549174,.077848271
F,45,7182868,50586.805,49946.883,84.676117,84.723267,.074307717,.074558944
F,46,7184363,51835.27,51275.496,84.728035,84.774117,.071703508,.073040389
F,47,7185013,53099.949,52619.137,84.954185,84.995895,.072671369,.072746068
F,48,7185198,54385.266,53987.73,84.946159,84.985954,.07310804,.074194245
F,49,7185826,55688.242,55370.012,84.952301,84.991852,.072282836,.072571032
F,50,7185479,57012.57,56771.988,84.981941,85.019531,.075507693,.077474602
F,51,7187061,58356.133,58193.582,84.954269,84.990944,.073567182,.074860297
F,52,7188234,59722.73,59641.613,85.164528,85.19384,.074437894,.076763071
F,53,7187661,61111.883,61106.355,85.114296,85.140343,.075276665,.07623551
F,54,7189317,62520.648,62592.129,85.250519,85.269798,.074340314,.075603351
F,55,7189237,63952.996,64105.07,85.322868,85.336349,.073106609,.076437384
F,56,7188319,65410.285,65635.18,85.270782,85.279427,.074438438,.078169554
F,57,7190406,66884.461,67188.781,85.540359,85.540733,.075545132,.078432649
F,58,7190737,68384.359,68757.906,85.499336,85.496941,.07669577,.080951296
F,59,7192821,69904.008,70342.813,85.675949,85.670769,.07290636,.077155776
F,60,7191546,71455.133,71949.07,85.556061,85.552818,.078594521,.081122644
F,61,7192115,73027.82,73575.883,85.509689,85.50927,.076185703,.081086963
F,62,7194018,74628.766,75219.898,85.835289,85.831726,.076721981,.078386061
F,63,7194642,76259.906,76884.734,85.854454,85.852356,.075229764,.079364635
F,64,7194693,77924.133,78575.297,85.841637,85.840729,.07912112,.082119592
F,65,7195935,79622.695,80298.055,86.01387,86.01162,.075991869,.080214657
F,66,7197226,81359.602,82049.055,86.036346,86.034279,.079185605,.083462618
F,67,7195498,83142.281,83829.938,85.89328,85.891869,.078440227,.083916575
F,68,7196340,84964.023,85645.484,86.053368,86.048203,.076987334,.080445036
F,69,7197939,86831.68,87497.344,86.085312,86.075218,.078496322,.081901774
F,70,7197494,88753.945,89397.57,86.100922,86.084274,.079006113,.083084151
F,71,7199069,90726.922,91344.297,86.291183,86.261612,.081767604,.087103724
F,72,7198780,92764.195,93339.445,86.284363,86.245232,.077819131,.082109913
F,73,7199917,94865.547,95386.438,86.377167,86.327362,.079708189,.086800933
F,74,7200605,97040.102,97496.578,86.480743,86.423012,.07852181,.084627666
F,75,7200688,99292.938,99673.656,86.439278,86.37175,.082708962,.091110416
F,76,7201490,101633.68,101935.94,86.508705,86.432198,.080905288,.08928062
F,77,7202366,104071.49,104284.42,86.711433,86.626793,.080886275,.090709105
F,78,7202309,106624.52,106732.21,86.649414,86.559471,.079684995,.090228677
F,79,7203446,109306.47,109295.41,86.76001,86.66507,.081438772,.090803549
F,80,7203577,112141.27,111987.73,86.783203,86.685181,.081351459,.090282507
F,81,7204335,115151.23,114832.43,86.798897,86.696945,.083180487,.092909709
F,82,7204965,118362.74,117849.41,87.04837,86.939636,.079447821,.090883665
F,83,7205657,121807.62,121080.77,87.145798,87.028717,.080393553,.092728756
F,84,7207058,125520.73,124567.03,87.193192,87.065651,.083568409,.098230235
F,85,7207324,129572.01,128336.9,87.257973,87.118752,.078216575,.096020594
F,86,7208142,133992.45,132453.36,87.498955,87.348778,.078987375,.0962497
F,87,7209506,138842.64,137000.19,87.585754,87.428345,.080382653,.099497043
F,88,7209209,144239.03,142026.27,87.543465,87.383148,.083378069,.10282401
F,89,7209825,150285.36,147688.14,87.663574,87.50238,.078524545,.10121664
F,90,7209379,157146.42,154137.17,87.62001,87.457458,.081141956,.10340764
F,91,7211260,165094.31,161546.53,87.948654,87.787979,.080756217,.10105042
F,92,7211488,174413.25,170323.73,87.989685,87.829918,.07858818,.098891191
F,93,7212394,185646.83,180874.39,88.178932,88.026321,.07748159,.10066254
F,94,7213189,199593.39,193912.8,88.182495,88.040558,.082263976,.10182074
F,95,7213729,217631.41,210704.66,88.428558,88.30172,.07814683,.099209704
F,96,7214680,242346.13,233412.56,88.515488,88.408363,.079773024,.092569813
F,97,7215130,279176.41,266539.31,88.620956,88.532875,.077472679,.093915567
F,98,7214824,341872.38,321656.34,88.534309,88.464188,.081412837,.098390244
F,99,7215914,477420.56,437837.34,88.667274,88.611084,.079438992,.094964854
F,100,7217115,1923274.5,1532600.6,88.913246,88.87484,.077513881,.08947885
M,1,6767752,356.23605,284.14658,72.374809,72.742783,.042175848,.057907503
M,2,6796273,1602.8466,1198.6199,74.224281,74.495567,.045743242,.056516465
M,3,6810846,3222.1968,2463.7222,75.25354,75.451134,.047028929,.055741057
M,4,6819310,4904.6826,3878.3909,75.69355,75.838097,.048603296,.055749863
M,5,6823613,6551.4185,5331.4663,75.92894,76.033356,.051366013,.056554839
M,6,6825662,8128.4995,6765.5674,76.107384,76.18174,.051603757,.054615978
M,7,6829004,9651.2236,8171.8354,76.232414,76.283913,.051850908,.055801414
M,8,6828386,11102.864,9488.6436,76.157967,76.194641,.05315331,.055615064
M,9,6831289,12530.997,10751.088,76.326729,76.345612,.052309062,.05424162
M,10,6834092,13934.429,12055.409,76.379341,76.386444,.053012628,.055344515
M,11,6836389,15274.932,13282.646,76.469673,76.465477,.049760699,.052039262
M,12,6837379,16571.986,14463.595,76.572769,76.56031,.051373709,.053357419
M,13,6841654,17837.727,15658.633,76.763336,76.746368,.051487539,.05294089
M,14,6843245,19076.293,16825.219,76.847725,76.835167,.053142522,.054658793
M,15,6845643,20294.512,17964.014,77.007263,76.996086,.052398238,.05286555
M,16,6847732,21496.193,19093.236,77.115616,77.105881,.053958651,.054608751
M,17,6849732,22682.994,20214.332,77.367546,77.360229,.051335674,.05216451
M,18,6852279,23857.902,21326.664,77.425125,77.423584,.052712142,.052810069
M,19,6855574,25022.801,22423.338,77.626183,77.628639,.053400602,.053458966
M,20,6856197,26177.057,23501.727,77.69313,77.703575,.056505591,.056675002
M,21,6861736,27327.514,24568.869,77.904846,77.927811,.05653799,.056667481
M,22,6862527,28473.465,25636.412,78.106911,78.139633,.055438049,.055681702
M,23,6864806,29616.375,26694.445,78.205818,78.252319,.058096513,.058145888
M,24,6866832,30757.887,27748.85,78.356895,78.414093,.058579113,.058128357
